Datetime,City,Latitude,Longitude,Rain,Temp,WindSpeed,Pressure,Humidity,CloudCover,WindDirection,duration_in_storm,storm_id,Month,Season
2004-08-26 06:00:00,Fukuoka,33.59,130.401,0.0,23.2,4.9,1005.6,98.0,100.0,36.0,124,2004230N09172,8,Summer
2004-09-04 06:00:00,Fukuoka,33.59,130.401,0.0,21.9,7.2,1011.7,94.0,97.0,53.0,91,2004239N11171,9,Autumn
2005-09-03 18:00:00,Fukuoka,33.59,130.401,0.0,29.6,15.6,1008.2,71.0,75.0,29.0,79,2005241N15155,9,Autumn
2006-08-12 21:00:00,Fukuoka,33.59,130.401,0.0,27.6,4.5,1005.9,93.0,11.0,241.0,172,2006224N21141,8,Summer
2006-09-15 18:00:00,Fukuoka,33.59,130.401,2.5,22.7,9.4,1011.6,93.0,100.0,94.0,49,2006252N13139,9,Autumn
2007-07-31 18:00:00,Fukuoka,33.59,130.401,0.0,29.5,6.8,1005.1,59.0,71.0,335.0,85,2007208N20155,7,Summer
2013-10-06 18:00:00,Fukuoka,33.59,130.401,0.0,25.1,13.6,1017.7,82.0,9.0,73.0,49,2013274N18152,10,Autumn
2015-07-22 18:00:00,Fukuoka,33.59,130.401,1.1,25.1,17.7,1008.1,91.0,100.0,204.0,91,2015188N08194,7,Summer
2015-08-23 09:00:00,Fukuoka,33.59,130.401,0.0,26.6,5.7,1005.2,78.0,1.0,55.0,64,2015226N12151,8,Summer
2016-09-01 03:00:00,Fukuoka,33.59,130.401,0.0,21.8,12.2,1003.3,87.0,92.0,178.0,100,2016244N21123,9,Autumn
2017-07-02 15:00:00,Fukuoka,33.59,130.401,0.0,31.4,8.0,1009.3,61.0,100.0,207.0,61,2017182N15132,7,Summer
2018-07-26 18:00:00,Fukuoka,33.59,130.401,0.0,31.4,11.3,1004.3,64.0,99.0,329.0,172,2018204N15137,7,Summer
2018-08-12 15:00:00,Fukuoka,33.59,130.401,0.0,35.7,8.5,1004.5,48.0,96.0,62.0,76,2018222N16147,8,Summer
2019-08-03 00:00:00,Fukuoka,33.59,130.401,0.0,26.9,6.8,1009.6,89.0,21.0,162.0,127,2019213N17155,8,Summer
2019-09-20 12:00:00,Fukuoka,33.59,130.401,0.2,24.1,12.0,1012.6,67.0,100.0,111.0,67,2019260N20129,9,Autumn
2020-09-05 00:00:00,Fukuoka,33.59,130.401,0.2,24.9,5.2,1011.7,89.0,94.0,146.0,67,2020244N25146,9,Autumn
2021-09-12 03:00:00,Fukuoka,33.59,130.401,0.0,23.3,5.2,1009.2,88.0,100.0,164.0,151,2021248N12141,9,Autumn
2022-07-02 00:00:00,Fukuoka,33.59,130.401,0.0,25.0,7.1,1012.5,95.0,0.0,229.0,217,2022180N15130,7,Summer
2022-09-16 06:00:00,Fukuoka,33.59,130.401,0.0,24.8,10.5,1007.0,85.0,48.0,131.0,85,2022254N24143,9,Autumn
2024-08-24 21:00:00,Fukuoka,33.59,130.401,0.0,28.3,5.6,1009.0,87.0,93.0,153.0,184,2024233N15148,8,Summer
2002-06-09 15:00:00,Kagoshima,31.596,130.558,0.0,29.8,11.9,1008.7,49.0,70.0,180.0,34,2002155N20112,6,Summer
2002-07-22 12:00:00,Kagoshima,31.596,130.558,0.0,31.6,4.3,1009.1,57.0,9.0,132.0,115,2002195N11172,7,Summer
2003-10-10 00:00:00,Kagoshima,31.596,130.558,0.0,19.7,9.7,1018.3,86.0,98.0,75.0,73,2003283N26131,10,Autumn
2004-08-26 06:00:00,Kagoshima,31.596,130.558,0.0,25.1,4.6,1005.3,96.0,15.0,72.0,124,2004230N09172,8,Summer
2004-09-25 09:00:00,Kagoshima,31.596,130.558,0.0,24.4,6.9,1015.8,84.0,10.0,47.0,112,2004263N13153,9,Autumn
2005-09-03 18:00:00,Kagoshima,31.596,130.558,0.0,28.1,14.4,1007.6,71.0,0.0,77.0,79,2005241N15155,9,Autumn
2007-07-12 15:00:00,Kagoshima,31.596,130.558,0.2,29.4,12.4,1005.2,85.0,91.0,120.0,82,2007188N04148,7,Summer
2013-08-31 18:00:00,Kagoshima,31.596,130.558,0.1,25.6,5.8,1007.4,93.0,100.0,274.0,79,2013243N26122,8,Summer
2014-07-07 21:00:00,Kagoshima,31.596,130.558,0.0,27.2,6.0,1007.1,92.0,69.0,107.0,76,2014184N08147,7,Summer
2014-10-10 21:00:00,Kagoshima,31.596,130.558,0.0,22.4,17.6,1013.8,76.0,100.0,64.0,70,2014275N06166,10,Autumn
2015-08-23 09:00:00,Kagoshima,31.596,130.558,0.0,27.4,6.8,1005.4,78.0,51.0,328.0,64,2015226N12151,8,Summer
2016-09-17 00:00:00,Kagoshima,31.596,130.558,0.0,24.5,10.5,1013.0,94.0,97.0,121.0,85,2016256N12146,9,Autumn
2017-09-12 21:00:00,Kagoshima,31.596,130.558,0.0,24.1,3.2,1013.3,94.0,92.0,270.0,118,2017252N14147,9,Autumn
2018-07-26 18:00:00,Kagoshima,31.596,130.558,0.1,29.6,4.4,1005.4,77.0,84.0,279.0,172,2018204N15137,7,Summer
2020-09-05 00:00:00,Kagoshima,31.596,130.558,0.0,25.4,13.5,1011.2,93.0,100.0,65.0,67,2020244N25146,9,Autumn
2021-08-07 06:00:00,Kagoshima,31.596,130.558,0.0,26.2,5.3,1000.6,94.0,59.0,62.0,73,2021214N21110,8,Summer
2022-09-16 06:00:00,Kagoshima,31.596,130.558,0.0,25.9,15.0,1006.6,87.0,100.0,66.0,85,2022254N24143,9,Autumn
2023-07-31 18:00:00,Kagoshima,31.596,130.558,0.0,28.1,17.4,1008.7,80.0,99.0,68.0,241,2023207N09141,7,Summer
2024-08-24 21:00:00,Kagoshima,31.596,130.558,0.0,27.9,4.5,1010.2,88.0,86.0,61.0,184,2024233N15148,8,Summer
2003-04-24 12:00:00,Kochi,33.558,133.531,0.4,22.4,10.4,1012.5,86.0,100.0,226.0,25,2003098N03159,4,Spring
2003-08-06 12:00:00,Kochi,33.558,133.531,0.0,31.2,9.0,1009.8,67.0,7.0,185.0,85,2003212N09150,8,Summer
2004-06-09 15:00:00,Kochi,33.558,133.531,0.3,25.3,9.4,1008.3,73.0,100.0,198.0,40,2004156N16117,6,Summer
2004-06-19 12:00:00,Kochi,33.558,133.531,0.0,27.2,16.4,1011.2,71.0,97.0,116.0,55,2004164N06139,6,Summer
2004-07-25 18:00:00,Kochi,33.558,133.531,0.1,27.8,6.8,1008.0,78.0,97.0,198.0,157,2004206N20151,7,Summer
2004-08-26 06:00:00,Kochi,33.558,133.531,0.0,26.5,5.7,1006.7,87.0,92.0,72.0,124,2004230N09172,8,Summer
2004-09-25 09:00:00,Kochi,33.558,133.531,0.2,26.9,8.3,1017.6,76.0,23.0,56.0,112,2004263N13153,9,Autumn
2004-10-18 21:00:00,Kochi,33.558,133.531,0.9,20.8,12.3,1018.9,83.0,100.0,58.0,46,2004284N07157,10,Autumn
2007-07-12 15:00:00,Kochi,33.558,133.531,2.0,26.8,13.4,1008.5,85.0,100.0,207.0,82,2007188N04148,7,Summer
2011-07-17 03:00:00,Kochi,33.558,133.531,0.0,27.0,9.7,1007.9,85.0,35.0,27.0,124,2011192N18158,7,Summer
2011-08-29 09:00:00,Kochi,33.558,133.531,0.0,29.4,4.9,1011.8,66.0,2.0,73.0,148,2011236N15143,8,Summer
2014-07-07 21:00:00,Kochi,33.558,133.531,0.0,25.4,4.6,1007.9,94.0,99.0,141.0,76,2014184N08147,7,Summer
2014-08-06 18:00:00,Kochi,33.558,133.531,0.0,27.6,2.2,1007.2,85.0,97.0,90.0,91,2014209N12152,8,Summer
2014-10-10 21:00:00,Kochi,33.558,133.531,0.0,23.8,7.2,1017.0,80.0,100.0,53.0,70,2014275N06166,10,Autumn
2015-07-14 09:00:00,Kochi,33.558,133.531,0.0,28.2,2.6,1006.8,80.0,13.0,196.0,94,2015184N08172,7,Summer
2016-09-17 00:00:00,Kochi,33.558,133.531,0.0,26.2,1.1,1014.5,90.0,100.0,72.0,85,2016256N12146,9,Autumn
2017-07-02 15:00:00,Kochi,33.558,133.531,0.0,29.0,10.1,1010.8,76.0,88.0,153.0,61,2017182N15132,7,Summer
2017-07-27 09:00:00,Kochi,33.558,133.531,0.1,29.1,5.1,1007.5,81.0,70.0,184.0,286,2017200N26162,7,Summer
2017-09-12 21:00:00,Kochi,33.558,133.531,0.0,23.7,6.2,1011.6,95.0,21.0,7.0,118,2017252N14147,9,Autumn
2018-09-02 09:00:00,Kochi,33.558,133.531,0.0,24.5,4.7,1010.3,82.0,85.0,4.0,58,2018239N11161,9,Autumn
2021-09-12 03:00:00,Kochi,33.558,133.531,0.4,23.9,1.8,1010.5,92.0,100.0,323.0,151,2021248N12141,9,Autumn
2022-07-02 00:00:00,Kochi,33.558,133.531,0.0,23.8,0.7,1014.5,98.0,0.0,360.0,217,2022180N15130,7,Summer
2024-08-24 21:00:00,Kochi,33.558,133.531,0.0,26.2,2.3,1011.0,98.0,95.0,18.0,184,2024233N15148,8,Summer
2001-05-13 18:00:00,Okinawa,26.512,127.933,1.8,21.9,41.2,1001.9,85.0,100.0,102.0,19,2001125N05129,5,Spring
2001-09-05 15:00:00,Okinawa,26.512,127.933,0.0,27.8,22.5,995.8,83.0,100.0,130.0,262,2001248N23125,9,Autumn
2002-07-14 03:00:00,Okinawa,26.512,127.933,0.0,26.3,43.0,989.7,90.0,0.0,86.0,52,2002187N11160,7,Summer
2002-09-01 06:00:00,Okinawa,26.512,127.933,2.3,25.4,13.9,997.3,90.0,72.0,249.0,142,2002240N16155,9,Autumn
2003-08-06 12:00:00,Okinawa,26.512,127.933,0.0,30.1,42.2,992.5,80.0,85.0,82.0,85,2003212N09150,8,Summer
2003-09-18 21:00:00,Okinawa,26.512,127.933,0.0,27.0,31.6,996.8,83.0,100.0,119.0,91,2003259N13133,9,Autumn
2004-06-09 15:00:00,Okinawa,26.512,127.933,1.7,23.2,5.9,999.9,99.0,100.0,259.0,40,2004156N16117,6,Summer
2004-09-04 06:00:00,Okinawa,26.512,127.933,0.0,27.7,43.2,993.2,81.0,32.0,34.0,91,2004239N11171,9,Autumn
2004-10-18 21:00:00,Okinawa,26.512,127.933,2.4,25.4,59.2,989.2,89.0,100.0,86.0,46,2004284N07157,10,Autumn
2007-07-12 15:00:00,Okinawa,26.512,127.933,0.8,27.8,50.6,985.4,87.0,56.0,85.0,82,2007188N04148,7,Summer
2007-09-13 21:00:00,Okinawa,26.512,127.933,0.2,27.1,23.7,995.3,85.0,42.0,103.0,76,2007254N18140,9,Autumn
2010-08-30 15:00:00,Okinawa,26.512,127.933,0.1,27.3,21.3,995.5,84.0,65.0,106.0,88,2010240N15142,8,Summer
2011-05-10 21:00:00,Okinawa,26.512,127.933,0.0,24.4,32.0,999.3,93.0,98.0,165.0,34,2011126N11129,5,Spring
2011-05-28 06:00:00,Okinawa,26.512,127.933,2.7,24.7,32.7,995.7,90.0,99.0,148.0,31,2011140N08142,5,Spring
2012-08-03 03:00:00,Okinawa,26.512,127.933,0.7,27.1,32.9,992.8,90.0,99.0,131.0,112,2012215N23146,8,Summer
2012-08-25 06:00:00,Okinawa,26.512,127.933,0.0,27.1,42.8,993.2,83.0,97.0,46.0,91,2012232N13141,8,Summer
2012-09-15 12:00:00,Okinawa,26.512,127.933,1.6,25.5,41.7,994.3,88.0,100.0,78.0,61,2012254N09135,9,Autumn
2012-09-28 12:00:00,Okinawa,26.512,127.933,0.9,26.4,31.6,997.5,87.0,100.0,113.0,67,2012263N15141,9,Autumn
2013-10-06 18:00:00,Okinawa,26.512,127.933,0.2,26.6,41.8,996.9,87.0,65.0,97.0,49,2013274N18152,10,Autumn
2014-09-06 06:00:00,Okinawa,26.512,127.933,0.3,27.5,29.6,997.4,79.0,93.0,122.0,85,2014248N19129,9,Autumn
2014-10-10 21:00:00,Okinawa,26.512,127.933,1.3,25.4,79.1,988.6,80.0,100.0,54.0,70,2014275N06166,10,Autumn
2015-05-11 15:00:00,Okinawa,26.512,127.933,0.0,25.3,25.8,1002.1,90.0,72.0,131.0,16,2015122N07144,5,Spring
2016-07-18 03:00:00,Okinawa,26.512,127.933,0.0,27.9,16.8,999.1,84.0,13.0,152.0,28,2016199N18131,7,Summer
2017-10-27 18:00:00,Okinawa,26.512,127.933,0.1,25.5,22.9,994.4,90.0,83.0,57.0,43,2017292N13151,10,Autumn
2018-06-15 09:00:00,Okinawa,26.512,127.933,3.6,25.4,17.8,991.7,96.0,100.0,198.0,46,2018165N22117,6,Summer
2018-07-20 12:00:00,Okinawa,26.512,127.933,0.1,29.3,22.0,991.5,71.0,98.0,50.0,43,2018199N18128,7,Summer
2018-09-28 15:00:00,Okinawa,26.512,127.933,0.6,26.3,43.2,988.8,89.0,100.0,90.0,58,2018263N12146,9,Autumn
2021-08-03 18:00:00,Okinawa,26.512,127.933,0.2,26.2,27.2,992.3,91.0,58.0,125.0,133,2021215N24124,8,Summer
2022-07-02 00:00:00,Okinawa,26.512,127.933,0.1,24.9,14.0,998.9,91.0,96.0,125.0,217,2022180N15130,7,Summer
2022-07-30 18:00:00,Okinawa,26.512,127.933,2.5,26.2,14.6,991.1,92.0,100.0,164.0,43,2022211N20129,7,Summer
2023-06-01 00:00:00,Okinawa,26.512,127.933,2.2,24.4,33.6,991.1,99.0,100.0,113.0,49,2023138N05151,6,Summer
2023-07-31 18:00:00,Okinawa,26.512,127.933,0.5,26.6,20.7,990.6,90.0,100.0,50.0,241,2023207N09141,7,Summer
2024-09-18 06:00:00,Okinawa,26.512,127.933,0.4,26.6,25.0,994.3,86.0,86.0,78.0,79,2024259N12145,9,Autumn
